id,prompt_length,response_length,source,type,quality_score,destination
294265a7cb55ded9ab25369569b6cc85,40,463,scraped,discussion,3,
c860ce4aa294a22464b4d258c526383c,61,1516,scraped,discussion,3,
b1d826e8a7cb8bebd75fcfa0c0e32173,115,266,scraped,question_answer,3,
4623a6869edd68fbb568b587144b099e,71,956,scraped,discussion,3,
0c0d56713e9180a5e231c050c910f1df,23,1303,scraped,discussion,3,
31d80e601cf302f6588446d5300cc8da,45,77,scraped,short_conversation,2,
409c45a3e03e4fdd92172fb48eab4f37,52,543,scraped,question_answer,3,
61d21933314e5922c0ac9b5e6b5883ef,73,705,scraped,question_answer,3,
5e079e8bfa9e672fc981f91e20a8faa3,66,417,scraped,discussion,3,
e06ab95af6e6741bdb093c4aa9102277,66,627,scraped,question_answer,3,
19ab4723811ecad70b66e60fff819bdf,53,767,scraped,discussion,3,
6a8ec6cb8a504802a0c35b9deb684e79,38,648,scraped,discussion,3,
538577bab67bcf255162b6a56a066d12,47,1334,scraped,discussion,3,
f0fe603b5c7c0368bcaf7a3a287cb251,45,539,scraped,discussion,3,
376b5ee5203369492157776aea3eea1d,88,252,scraped,question_answer,3,
1abf1f814d8932f19a96b1a352952022,73,551,scraped,question_answer,3,
a46c26fbb36f7a56b09076540950551c,31,1059,scraped,question_answer,3,
de06e7e4851b024f6542dbc628c517d9,56,534,scraped,question_answer,3,
8723b01993bb31c3986e32ff26a56f19,26,569,scraped,discussion,3,
2bf48de9145b110062209e5b9c0f251b,26,307,scraped,discussion,3,
01a648b7f6c45486a31c8a9f60592804,51,285,scraped,discussion,3,
079738e6cbec54be0dff662fd90a5789,72,124,scraped,discussion,3,
f0d52f7103d91db1d3362e4985ef8c56,39,515,scraped,question_answer,3,
b4078284b88df92dce316120e65af2b6,100,134,scraped,question_answer,3,
a497fd3880caf2c30ffc24b5cb83366e,29,416,scraped,discussion,3,
22012859fab6525ab717aaae7b4e18ab,36,222,scraped,question_answer,3,
e106838290a6b8765e57d4150171c6d5,77,283,scraped,discussion,3,
19f0cdf35fc23d426bd64eaa6fe06b90,40,515,scraped,question_answer,3,
bfb0ce3bf097248635c0bb12a2520d76,34,1691,scraped,discussion,3,
8486e4397b6d4ef80a25cc2c5afa063e,42,335,scraped,discussion,3,
343a30963be90423ea3bac0737796c25,29,1053,scraped,discussion,3,
f1a0eab7fa95c3a5e84bcec6996e6d65,45,251,scraped,discussion,3,
d48b31d74cdffa60c4ed642a77e32d82,23,495,scraped,discussion,3,
4503ffa88d7b2477812ab4ec2a0e5af3,79,416,scraped,question_answer,3,
b58ad8d8f130c034b1d1794cbd4db5a5,65,330,scraped,discussion,3,
7fb8f9b802da7481961ce5e4c564138b,44,406,scraped,question_answer,3,
f1b62fc71ad97ecb57c1bd60e472d1ba,83,1615,scraped,discussion,3,
7d89086002127066616cd94ed6f87297,50,360,scraped,question_answer,3,
a58fd1f2825e40245404b9fd2ae5aabe,54,2047,scraped,question_answer,3,
6a7bb3be84a6ed41123a0d1a94fae640,38,674,scraped,discussion,3,
24a74ad499c2fc2a6ddb7259f8ecaf1c,114,1297,scraped,discussion,3,
e1bd8a521e145ee298e44c623d9de140,23,1299,scraped,question_answer,3,
c9cfe5b067a2fffe5537b721ab213ef7,35,307,scraped,discussion,3,
65c61389e895b6704096f9e80934a39b,30,418,scraped,discussion,3,
5406c805675257f00913cf326c6a5b02,83,213,scraped,question_answer,3,
f0127d989ad66ed61042eb37e8a9b155,52,172,scraped,question_answer,3,
a0300c6c56c4b52975d22dad5f816dc2,39,444,scraped,discussion,3,
35be476850053374aa22b5bad77e979e,33,555,scraped,question_answer,3,
a0d5e5a760798b0ea3b10a9790ca6bb9,54,450,scraped,question_answer,3,
db1246e6bbf0b1060e1098ecb703c456,21,253,scraped,discussion,3,
c64a72eebe87d0db7b4360d840a7512b,58,1178,scraped,question_answer,3,
